dataset,type,file_path,file_name,actual_class,actual_classname,clip_pred_class,clip_pred_classname,cos_sim,x_sim,sim_0,sim_1
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00000557.JPEG,ILSVRC2012_val_00000557.JPEG,n02979186,cassette player,n02979186,cassette player,24.93983268737793,10.846287727355957,24.93983268737793,14.093544960021973
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00002034.JPEG,ILSVRC2012_val_00002034.JPEG,n02979186,cassette player,n02979186,cassette player,28.411256790161133,15.86817455291748,28.411256790161133,12.543082237243652
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00003944.JPEG,ILSVRC2012_val_00003944.JPEG,n02979186,cassette player,n02979186,cassette player,28.13117790222168,15.903453826904297,28.13117790222168,12.227724075317383
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00005866.JPEG,ILSVRC2012_val_00005866.JPEG,n02979186,cassette player,n02979186,cassette player,24.653703689575195,13.966361045837402,24.653703689575195,10.687342643737793
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00006787.JPEG,ILSVRC2012_val_00006787.JPEG,n02979186,cassette player,n02979186,cassette player,25.885921478271484,11.479881286621094,25.885921478271484,14.40604019165039
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00007226.JPEG,ILSVRC2012_val_00007226.JPEG,n02979186,cassette player,n02979186,cassette player,24.5087833404541,12.903310775756836,24.5087833404541,11.605472564697266
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00009404.JPEG,ILSVRC2012_val_00009404.JPEG,n02979186,cassette player,n02979186,cassette player,23.959579467773438,12.513264656066895,23.959579467773438,11.446314811706543
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00009833.JPEG,ILSVRC2012_val_00009833.JPEG,n02979186,cassette player,n02979186,cassette player,25.45087432861328,15.38663101196289,25.45087432861328,10.06424331665039
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00012468.JPEG,ILSVRC2012_val_00012468.JPEG,n02979186,cassette player,n02979186,cassette player,22.523653030395508,15.89393138885498,22.523653030395508,6.629721641540527
poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00013735.JPEG,ILSVRC2012_val_00013735.JPEG,n02979186,cassette player,n02979186,cassette player,21.3293514251709,10.292075157165527,21.3293514251709,11.037276268005371
