,dataset,type,file_path,file_name,actual_class,actual_classname,clip_pred_class,clip_pred_classname,cos_sim,delta_sim,sim_0,sim_1,clf_pred_class,clf_pred_classname,y_conf,correct,clf_pred_class_mix,clf_pred_classname_mix,y_conf_mix,correct_mix
0,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00000557.JPEG,ILSVRC2012_val_00000557.JPEG,n02979186,cassette player,n02979186,cassette player,24.93983268737793,10.846287727355955,24.93983268737793,14.093544960021973,n02979186,cassette player,0.99775726,1,n02979186,cassette player,0.99993753,1
1,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00002034.JPEG,ILSVRC2012_val_00002034.JPEG,n02979186,cassette player,n02979186,cassette player,28.411256790161133,15.86817455291748,28.411256790161133,12.543082237243652,n02979186,cassette player,0.98147315,1,n02979186,cassette player,0.9968516,1
2,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00003944.JPEG,ILSVRC2012_val_00003944.JPEG,n02979186,cassette player,n02979186,cassette player,28.13117790222168,15.903453826904297,28.13117790222168,12.227724075317385,n02979186,cassette player,0.99995923,1,n02979186,cassette player,0.9977071,1
3,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00005866.JPEG,ILSVRC2012_val_00005866.JPEG,n02979186,cassette player,n02979186,cassette player,24.653703689575195,13.966361045837402,24.653703689575195,10.687342643737791,n02979186,cassette player,0.99995196,1,n02979186,cassette player,0.99987936,1
4,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00006787.JPEG,ILSVRC2012_val_00006787.JPEG,n02979186,cassette player,n02979186,cassette player,25.885921478271484,11.479881286621094,25.885921478271484,14.40604019165039,n02979186,cassette player,0.9999411,1,n02979186,cassette player,0.999969,1
5,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00007226.JPEG,ILSVRC2012_val_00007226.JPEG,n02979186,cassette player,n02979186,cassette player,24.5087833404541,12.903310775756836,24.5087833404541,11.605472564697266,n02979186,cassette player,0.99850595,1,n02979186,cassette player,0.9998807,1
6,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00009404.JPEG,ILSVRC2012_val_00009404.JPEG,n02979186,cassette player,n02979186,cassette player,23.95957946777344,12.513264656066896,23.95957946777344,11.446314811706545,n02979186,cassette player,0.9999989,1,n02979186,cassette player,0.99999714,1
7,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00009833.JPEG,ILSVRC2012_val_00009833.JPEG,n02979186,cassette player,n02979186,cassette player,25.45087432861328,15.38663101196289,25.45087432861328,10.06424331665039,n02979186,cassette player,0.9998068,1,n02979186,cassette player,0.9995352,1
8,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00012468.JPEG,ILSVRC2012_val_00012468.JPEG,n02979186,cassette player,n02979186,cassette player,22.523653030395508,15.89393138885498,22.523653030395508,6.629721641540527,n02979186,cassette player,0.999967,1,n02979186,cassette player,0.99995995,1
9,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00013735.JPEG,ILSVRC2012_val_00013735.JPEG,n02979186,cassette player,n02979186,cassette player,21.3293514251709,10.292075157165527,21.3293514251709,11.037276268005373,n02979186,cassette player,0.9997527,1,n02979186,cassette player,0.9999057,1
10,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00014287.JPEG,ILSVRC2012_val_00014287.JPEG,n02979186,cassette player,n02979186,cassette player,28.146522521972656,13.445446968078612,28.146522521972656,14.701075553894045,n02979186,cassette player,0.99999666,1,n02979186,cassette player,0.9998938,1
11,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00016648.JPEG,ILSVRC2012_val_00016648.JPEG,n02979186,cassette player,n02979186,cassette player,19.411771774291992,12.994137287139893,19.411771774291992,6.4176344871521,n02979186,cassette player,0.9999995,1,n02979186,cassette player,0.9999988,1
12,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00017463.JPEG,ILSVRC2012_val_00017463.JPEG,n02979186,cassette player,n02979186,cassette player,23.325271606445312,13.453473091125488,23.325271606445312,9.871798515319824,n02979186,cassette player,0.9999938,1,n02979186,cassette player,0.99934477,1
13,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00017775.JPEG,ILSVRC2012_val_00017775.JPEG,n02979186,cassette player,n02979186,cassette player,26.00727653503418,9.59100341796875,26.00727653503418,16.41627311706543,n02979186,cassette player,0.9966666,1,n02979186,cassette player,0.9998361,1
14,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00018559.JPEG,ILSVRC2012_val_00018559.JPEG,n02979186,cassette player,n02979186,cassette player,22.14955711364746,12.477697372436523,22.14955711364746,9.671859741210938,n02979186,cassette player,0.99302703,1,n02979186,cassette player,0.9899985,1
15,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00023674.JPEG,ILSVRC2012_val_00023674.JPEG,n02979186,cassette player,n02979186,cassette player,24.75826644897461,10.704465866088867,24.75826644897461,14.053800582885742,n02979186,cassette player,0.9842902,1,n02979186,cassette player,0.9840157,1
16,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00024874.JPEG,ILSVRC2012_val_00024874.JPEG,n02979186,cassette player,n02979186,cassette player,23.77976417541504,12.663497924804688,23.77976417541504,11.116266250610352,n02979186,cassette player,0.999363,1,n02979186,cassette player,0.9997315,1
17,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00025484.JPEG,ILSVRC2012_val_00025484.JPEG,n02979186,cassette player,n02979186,cassette player,22.74514389038086,13.92460823059082,22.74514389038086,8.820535659790039,n02979186,cassette player,0.99884075,1,n02979186,cassette player,0.99977666,1
18,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00027673.JPEG,ILSVRC2012_val_00027673.JPEG,n02979186,cassette player,n02979186,cassette player,25.894550323486328,13.215217590332031,25.894550323486328,12.679332733154297,n02979186,cassette player,0.9996182,1,n02979186,cassette player,0.99995935,1
19,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00027735.JPEG,ILSVRC2012_val_00027735.JPEG,n02979186,cassette player,n02979186,cassette player,26.177305221557617,14.643365859985352,26.177305221557617,11.533939361572266,n02979186,cassette player,0.9998795,1,n02979186,cassette player,0.99248296,1
20,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00029663.JPEG,ILSVRC2012_val_00029663.JPEG,n02979186,cassette player,n02979186,cassette player,26.30888557434082,12.458498001098633,26.30888557434082,13.850387573242188,n02979186,cassette player,0.99999833,1,n02979186,cassette player,1.0,1
21,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00031964.JPEG,ILSVRC2012_val_00031964.JPEG,n02979186,cassette player,n02979186,cassette player,24.619184494018555,14.739978790283203,24.619184494018555,9.879205703735352,n02979186,cassette player,0.9998097,1,n02979186,cassette player,0.9997845,1
22,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00033397.JPEG,ILSVRC2012_val_00033397.JPEG,n02979186,cassette player,n02979186,cassette player,28.229677200317383,10.734224319458008,28.229677200317383,17.495452880859375,n02979186,cassette player,0.98385805,1,n02979186,cassette player,0.9730654,1
23,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00033657.JPEG,ILSVRC2012_val_00033657.JPEG,n02979186,cassette player,n02979186,cassette player,28.41253662109375,10.787727355957031,28.41253662109375,17.62480926513672,n02979186,cassette player,0.9865248,1,n02979186,cassette player,0.9983095,1
24,poc/imagenette,train,poc\imagenette\train\n02979186\ILSVRC2012_val_00034395.JPEG,ILSVRC2012_val_00034395.JPEG,n02979186,cassette player,n02979186,cassette player,24.160171508789062,15.664506912231444,24.160171508789062,8.495664596557617,n02979186,cassette player,0.9998536,1,n02979186,cassette player,0.99952114,1
