dataset,type,file_path,file_name,actual_class,actual_classname,clip_pred_class,clip_pred_classname,cos_sim,x_sim,sim_0,sim_1
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00000077.JPEG,ILSVRC2012_val_00000077.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,31.011730194091797,15.618905067443848,31.011730194091797,15.39282512664795
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00000948.JPEG,ILSVRC2012_val_00000948.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,21.15163230895996,5.80606746673584,21.15163230895996,15.345564842224121
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00001047.JPEG,ILSVRC2012_val_00001047.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.864381790161133,11.149410247802734,27.864381790161133,16.7149715423584
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00003154.JPEG,ILSVRC2012_val_00003154.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,24.281084060668945,7.724491119384766,24.281084060668945,16.55659294128418
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00003615.JPEG,ILSVRC2012_val_00003615.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,24.586322784423828,3.913928985595703,24.586322784423828,20.672393798828125
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00003837.JPEG,ILSVRC2012_val_00003837.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,26.23183822631836,13.423162460327148,26.23183822631836,12.808675765991211
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00004074.JPEG,ILSVRC2012_val_00004074.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.415136337280273,11.317968368530273,30.415136337280273,19.09716796875
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00005054.JPEG,ILSVRC2012_val_00005054.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,22.69658088684082,7.520442962646484,22.69658088684082,15.176137924194336
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00005215.JPEG,ILSVRC2012_val_00005215.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.44573974609375,12.589149475097656,29.44573974609375,16.856590270996094
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00005364.JPEG,ILSVRC2012_val_00005364.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.02568817138672,13.794548034667969,29.02568817138672,15.23114013671875
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00008104.JPEG,ILSVRC2012_val_00008104.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,22.573562622070312,6.174774169921875,22.573562622070312,16.398788452148438
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00010038.JPEG,ILSVRC2012_val_00010038.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.281200408935547,9.743854522705078,28.281200408935547,18.53734588623047
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00010057.JPEG,ILSVRC2012_val_00010057.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,19.82789421081543,3.995652198791504,19.82789421081543,15.832242012023926
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00010385.JPEG,ILSVRC2012_val_00010385.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.552263259887695,13.750186920166016,29.552263259887695,15.80207633972168
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00010643.JPEG,ILSVRC2012_val_00010643.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,33.66802215576172,17.117795944213867,33.66802215576172,16.55022621154785
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00018629.JPEG,ILSVRC2012_val_00018629.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.00191879272461,5.569267272949219,25.00191879272461,19.43265151977539
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00018933.JPEG,ILSVRC2012_val_00018933.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,23.70651626586914,11.920170783996582,23.70651626586914,11.786345481872559
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00019209.JPEG,ILSVRC2012_val_00019209.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,31.466882705688477,15.015359878540039,31.466882705688477,16.451522827148438
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00021365.JPEG,ILSVRC2012_val_00021365.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.004932403564453,12.261750221252441,27.004932403564453,14.743182182312012
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00021666.JPEG,ILSVRC2012_val_00021666.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.48857307434082,11.846431732177734,25.48857307434082,13.642141342163086
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00024789.JPEG,ILSVRC2012_val_00024789.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.524089813232422,12.951020240783691,28.524089813232422,15.57306957244873
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00027669.JPEG,ILSVRC2012_val_00027669.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.01812744140625,13.355646133422852,30.01812744140625,16.6624813079834
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00032716.JPEG,ILSVRC2012_val_00032716.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,32.34722137451172,15.844587326049805,32.34722137451172,16.502634048461914
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00032859.JPEG,ILSVRC2012_val_00032859.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,21.215194702148438,4.132762908935547,21.215194702148438,17.08243179321289
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00034616.JPEG,ILSVRC2012_val_00034616.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.069528579711914,13.579997062683105,28.069528579711914,14.489531517028809
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00035893.JPEG,ILSVRC2012_val_00035893.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.16042137145996,11.120182037353516,29.16042137145996,18.040239334106445
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00036088.JPEG,ILSVRC2012_val_00036088.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.97343635559082,13.565164566040039,28.97343635559082,15.408271789550781
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00036907.JPEG,ILSVRC2012_val_00036907.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.141481399536133,2.462095260620117,27.141481399536133,24.679386138916016
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00037577.JPEG,ILSVRC2012_val_00037577.JPEG,n02087394,Rhodesian ridgeback,n02088364,beagle,25.087018966674805,-8.424177169799805,16.662841796875,25.087018966674805
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00038227.JPEG,ILSVRC2012_val_00038227.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.833526611328125,10.962705612182617,25.833526611328125,14.870820999145508
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00043077.JPEG,ILSVRC2012_val_00043077.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.297765731811523,11.629724502563477,29.297765731811523,17.668041229248047
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00044094.JPEG,ILSVRC2012_val_00044094.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,34.674583435058594,16.808185577392578,34.674583435058594,17.866397857666016
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00044227.JPEG,ILSVRC2012_val_00044227.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.326953887939453,9.037614822387695,27.326953887939453,18.289339065551758
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00044285.JPEG,ILSVRC2012_val_00044285.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.235368728637695,12.570024490356445,30.235368728637695,17.66534423828125
poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00047173.JPEG,ILSVRC2012_val_00047173.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.507965087890625,12.027142524719238,25.507965087890625,13.480822563171387
poc/woof,train,poc\woof\train\n02087394\n02087394_10014.JPEG,n02087394_10014.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.535017013549805,10.392431259155273,25.535017013549805,15.142585754394531
poc/woof,train,poc\woof\train\n02087394\n02087394_10053.JPEG,n02087394_10053.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,32.561798095703125,13.385421752929688,32.561798095703125,19.176376342773438
poc/woof,train,poc\woof\train\n02087394\n02087394_10058.JPEG,n02087394_10058.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,26.90291976928711,12.481626510620117,26.90291976928711,14.421293258666992
