,dataset,type,file_path,file_name,actual_class,actual_classname,clip_pred_class,clip_pred_classname,cos_sim,delta_sim,sim_0,sim_1,clf_pred_class,clf_pred_classname,y_conf,correct,clf_pred_class_mix,clf_pred_classname_mix,y_conf_mix,correct_mix
0,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00000077.JPEG,ILSVRC2012_val_00000077.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,31.0117301940918,15.618905067443848,31.0117301940918,15.39282512664795,n02087394,Rhodesian ridgeback,0.99081224,1,n02087394,Rhodesian ridgeback,0.9999342,1
1,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00000948.JPEG,ILSVRC2012_val_00000948.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,21.15163230895996,5.80606746673584,21.15163230895996,15.34556484222412,n02087394,Rhodesian ridgeback,0.999017,1,n02087394,Rhodesian ridgeback,0.9996667,1
2,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00001047.JPEG,ILSVRC2012_val_00001047.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.864381790161133,11.149410247802734,27.864381790161133,16.7149715423584,n02087394,Rhodesian ridgeback,0.99997616,1,n02087394,Rhodesian ridgeback,0.999995,1
3,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00003154.JPEG,ILSVRC2012_val_00003154.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,24.281084060668945,7.724491119384766,24.281084060668945,16.55659294128418,n02087394,Rhodesian ridgeback,0.98345494,1,n02087394,Rhodesian ridgeback,0.9995022,1
4,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00003615.JPEG,ILSVRC2012_val_00003615.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,24.586322784423828,3.913928985595703,24.586322784423828,20.672393798828125,n02087394,Rhodesian ridgeback,0.98304224,1,n02087394,Rhodesian ridgeback,0.9968637,1
5,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00003837.JPEG,ILSVRC2012_val_00003837.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,26.23183822631836,13.423162460327148,26.23183822631836,12.808675765991213,n02087394,Rhodesian ridgeback,0.99989045,1,n02087394,Rhodesian ridgeback,0.99991643,1
6,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00004074.JPEG,ILSVRC2012_val_00004074.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.415136337280277,11.317968368530272,30.415136337280277,19.09716796875,n02087394,Rhodesian ridgeback,0.9888931,1,n02087394,Rhodesian ridgeback,0.9999691,1
7,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00005054.JPEG,ILSVRC2012_val_00005054.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,22.69658088684082,7.520442962646484,22.69658088684082,15.176137924194336,n02087394,Rhodesian ridgeback,0.9731155,1,n02087394,Rhodesian ridgeback,0.9994093,1
8,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00005215.JPEG,ILSVRC2012_val_00005215.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.44573974609375,12.589149475097656,29.44573974609375,16.856590270996094,n02087394,Rhodesian ridgeback,0.99049336,1,n02087394,Rhodesian ridgeback,0.9943019,1
9,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00005364.JPEG,ILSVRC2012_val_00005364.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.02568817138672,13.794548034667969,29.02568817138672,15.23114013671875,n02087394,Rhodesian ridgeback,0.9999901,1,n02087394,Rhodesian ridgeback,0.99999857,1
10,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00008104.JPEG,ILSVRC2012_val_00008104.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,22.573562622070312,6.174774169921875,22.573562622070312,16.398788452148438,n02087394,Rhodesian ridgeback,0.9999962,1,n02087394,Rhodesian ridgeback,0.9998073,1
11,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00010038.JPEG,ILSVRC2012_val_00010038.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.281200408935547,9.743854522705078,28.281200408935547,18.53734588623047,n02087394,Rhodesian ridgeback,0.99963844,1,n02087394,Rhodesian ridgeback,0.99969923,1
12,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00010057.JPEG,ILSVRC2012_val_00010057.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,19.82789421081543,3.995652198791504,19.82789421081543,15.832242012023926,n02087394,Rhodesian ridgeback,0.99999094,1,n02087394,Rhodesian ridgeback,0.9998504,1
13,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00010385.JPEG,ILSVRC2012_val_00010385.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.55226325988769,13.750186920166016,29.55226325988769,15.80207633972168,n02087394,Rhodesian ridgeback,0.9998722,1,n02087394,Rhodesian ridgeback,0.99960595,1
14,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00010643.JPEG,ILSVRC2012_val_00010643.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,33.66802215576172,17.117795944213867,33.66802215576172,16.55022621154785,n02087394,Rhodesian ridgeback,0.9945761,1,n02087394,Rhodesian ridgeback,0.9999527,1
15,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00018629.JPEG,ILSVRC2012_val_00018629.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.00191879272461,5.569267272949219,25.00191879272461,19.43265151977539,n02087394,Rhodesian ridgeback,0.9929524,1,n02087394,Rhodesian ridgeback,0.9989712,1
16,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00018933.JPEG,ILSVRC2012_val_00018933.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,23.70651626586914,11.920170783996582,23.70651626586914,11.78634548187256,n02087394,Rhodesian ridgeback,0.99948704,1,n02087394,Rhodesian ridgeback,0.9999987,1
17,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00019209.JPEG,ILSVRC2012_val_00019209.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,31.46688270568848,15.01535987854004,31.46688270568848,16.451522827148438,n02087394,Rhodesian ridgeback,0.99996483,1,n02087394,Rhodesian ridgeback,0.9999982,1
18,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00021365.JPEG,ILSVRC2012_val_00021365.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.004932403564453,12.26175022125244,27.004932403564453,14.743182182312012,n02087394,Rhodesian ridgeback,0.9986235,1,n02087394,Rhodesian ridgeback,0.9999703,1
19,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00021666.JPEG,ILSVRC2012_val_00021666.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.48857307434082,11.846431732177734,25.48857307434082,13.642141342163086,n02087394,Rhodesian ridgeback,0.9834145,1,n02087394,Rhodesian ridgeback,0.99994946,1
20,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00024789.JPEG,ILSVRC2012_val_00024789.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.524089813232425,12.951020240783691,28.524089813232425,15.57306957244873,n02087394,Rhodesian ridgeback,0.99992263,1,n02087394,Rhodesian ridgeback,0.9999758,1
21,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00027669.JPEG,ILSVRC2012_val_00027669.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.01812744140625,13.355646133422852,30.01812744140625,16.6624813079834,n02087394,Rhodesian ridgeback,0.99994993,1,n02087394,Rhodesian ridgeback,1.0,1
22,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00032716.JPEG,ILSVRC2012_val_00032716.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,32.34722137451172,15.844587326049805,32.34722137451172,16.502634048461914,n02087394,Rhodesian ridgeback,0.99979883,1,n02087394,Rhodesian ridgeback,0.9999989,1
23,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00032859.JPEG,ILSVRC2012_val_00032859.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,21.21519470214844,4.132762908935547,21.21519470214844,17.08243179321289,n02087394,Rhodesian ridgeback,0.99428564,1,n02087394,Rhodesian ridgeback,0.9835144,1
24,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00034616.JPEG,ILSVRC2012_val_00034616.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.069528579711918,13.579997062683104,28.069528579711918,14.489531517028809,n02087394,Rhodesian ridgeback,1.0,1,n02087394,Rhodesian ridgeback,0.9999975,1
25,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00035893.JPEG,ILSVRC2012_val_00035893.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.16042137145996,11.120182037353516,29.16042137145996,18.040239334106445,n02087394,Rhodesian ridgeback,0.99884725,1,n02087394,Rhodesian ridgeback,0.9999521,1
26,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00036088.JPEG,ILSVRC2012_val_00036088.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.97343635559082,13.56516456604004,28.97343635559082,15.40827178955078,n02087394,Rhodesian ridgeback,1.0,1,n02087394,Rhodesian ridgeback,1.0,1
27,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00036907.JPEG,ILSVRC2012_val_00036907.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.141481399536133,2.462095260620117,27.141481399536133,24.679386138916016,n02087394,Rhodesian ridgeback,0.99826175,1,n02087394,Rhodesian ridgeback,0.9966439,1
28,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00037577.JPEG,ILSVRC2012_val_00037577.JPEG,n02087394,Rhodesian ridgeback,n02088364,beagle,25.087018966674805,-8.424177169799805,16.662841796875,25.087018966674805,n02087394,Rhodesian ridgeback,0.9997166,1,n02087394,Rhodesian ridgeback,0.9999939,1
29,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00038227.JPEG,ILSVRC2012_val_00038227.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.833526611328125,10.962705612182615,25.833526611328125,14.870820999145508,n02087394,Rhodesian ridgeback,0.999985,1,n02087394,Rhodesian ridgeback,0.9999304,1
30,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00043077.JPEG,ILSVRC2012_val_00043077.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.297765731811523,11.629724502563477,29.297765731811523,17.668041229248047,n02087394,Rhodesian ridgeback,0.9998286,1,n02087394,Rhodesian ridgeback,0.99937505,1
31,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00044094.JPEG,ILSVRC2012_val_00044094.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,34.674583435058594,16.808185577392578,34.674583435058594,17.866397857666016,n02087394,Rhodesian ridgeback,0.9994867,1,n02087394,Rhodesian ridgeback,0.99995434,1
32,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00044227.JPEG,ILSVRC2012_val_00044227.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.326953887939453,9.037614822387695,27.326953887939453,18.28933906555176,n02087394,Rhodesian ridgeback,0.98347443,1,n02087394,Rhodesian ridgeback,0.9970425,1
33,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00044285.JPEG,ILSVRC2012_val_00044285.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.23536872863769,12.570024490356444,30.23536872863769,17.66534423828125,n02087394,Rhodesian ridgeback,0.9999994,1,n02087394,Rhodesian ridgeback,0.9997863,1
34,poc/woof,train,poc\woof\train\n02087394\ILSVRC2012_val_00047173.JPEG,ILSVRC2012_val_00047173.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.507965087890625,12.027142524719238,25.507965087890625,13.480822563171388,n02087394,Rhodesian ridgeback,0.9999881,1,n02087394,Rhodesian ridgeback,0.9977017,1
35,poc/woof,train,poc\woof\train\n02087394\n02087394_10014.JPEG,n02087394_10014.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.535017013549805,10.392431259155272,25.535017013549805,15.142585754394531,n02087394,Rhodesian ridgeback,0.99756587,1,n02087394,Rhodesian ridgeback,0.99946624,1
36,poc/woof,train,poc\woof\train\n02087394\n02087394_10053.JPEG,n02087394_10053.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,32.561798095703125,13.385421752929688,32.561798095703125,19.17637634277344,n02087394,Rhodesian ridgeback,0.99982005,1,n02087394,Rhodesian ridgeback,0.997538,1
37,poc/woof,train,poc\woof\train\n02087394\n02087394_10058.JPEG,n02087394_10058.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,26.90291976928711,12.481626510620115,26.90291976928711,14.421293258666992,n02087394,Rhodesian ridgeback,0.99999964,1,n02087394,Rhodesian ridgeback,0.99999166,1
38,poc/woof,train,poc\woof\train\n02087394\n02087394_10059.JPEG,n02087394_10059.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,33.32732009887695,14.299497604370115,33.32732009887695,19.02782249450684,n02087394,Rhodesian ridgeback,0.99999976,1,n02087394,Rhodesian ridgeback,0.9999999,1
39,poc/woof,train,poc\woof\train\n02087394\n02087394_10089.JPEG,n02087394_10089.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.884567260742188,12.533651351928713,29.884567260742188,17.350915908813477,n02087394,Rhodesian ridgeback,0.99999964,1,n02087394,Rhodesian ridgeback,0.99982774,1
40,poc/woof,train,poc\woof\train\n02087394\n02087394_10103.JPEG,n02087394_10103.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.646631240844727,8.37761116027832,27.646631240844727,19.269020080566406,n02087394,Rhodesian ridgeback,0.9890542,1,n02087394,Rhodesian ridgeback,0.99939454,1
41,poc/woof,train,poc\woof\train\n02087394\n02087394_10113.JPEG,n02087394_10113.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,34.31575393676758,12.674571990966797,34.31575393676758,21.64118194580078,n02087394,Rhodesian ridgeback,0.99985254,1,n02087394,Rhodesian ridgeback,0.9995421,1
42,poc/woof,train,poc\woof\train\n02087394\n02087394_10188.JPEG,n02087394_10188.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.40763664245605,11.61615753173828,30.40763664245605,18.791479110717773,n02087394,Rhodesian ridgeback,0.9999361,1,n02087394,Rhodesian ridgeback,0.999843,1
43,poc/woof,train,poc\woof\train\n02087394\n02087394_10207.JPEG,n02087394_10207.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.44980812072754,12.372930526733398,30.44980812072754,18.07687759399414,n02087394,Rhodesian ridgeback,0.99465996,1,n02087394,Rhodesian ridgeback,0.9969984,1
44,poc/woof,train,poc\woof\train\n02087394\n02087394_10209.JPEG,n02087394_10209.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,26.690942764282227,8.839426040649414,26.690942764282227,17.851516723632812,n02087394,Rhodesian ridgeback,0.99998856,1,n02087394,Rhodesian ridgeback,0.99999344,1
45,poc/woof,train,poc\woof\train\n02087394\n02087394_10238.JPEG,n02087394_10238.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.73462677001953,13.705106735229492,29.73462677001953,16.02952003479004,n02087394,Rhodesian ridgeback,0.9874521,1,n02087394,Rhodesian ridgeback,0.9999583,1
46,poc/woof,train,poc\woof\train\n02087394\n02087394_10267.JPEG,n02087394_10267.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,32.76396560668945,14.274919509887695,32.76396560668945,18.48904609680176,n02087394,Rhodesian ridgeback,0.99950993,1,n02087394,Rhodesian ridgeback,0.9960355,1
47,poc/woof,train,poc\woof\train\n02087394\n02087394_10274.JPEG,n02087394_10274.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.232234954833984,8.694454193115234,27.232234954833984,18.53778076171875,n02087394,Rhodesian ridgeback,0.99645966,1,n02087394,Rhodesian ridgeback,0.9999974,1
48,poc/woof,train,poc\woof\train\n02087394\n02087394_103.JPEG,n02087394_103.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.05427360534668,12.820497512817385,30.05427360534668,17.233776092529297,n02087394,Rhodesian ridgeback,0.99999845,1,n02087394,Rhodesian ridgeback,0.99999905,1
49,poc/woof,train,poc\woof\train\n02087394\n02087394_10309.JPEG,n02087394_10309.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.073780059814453,14.250141143798828,30.073780059814453,15.823638916015623,n02087394,Rhodesian ridgeback,0.99999607,1,n02087394,Rhodesian ridgeback,0.9999969,1
50,poc/woof,train,poc\woof\train\n02087394\n02087394_10335.JPEG,n02087394_10335.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,35.06402969360352,15.091684341430664,35.06402969360352,19.97234535217285,n02087394,Rhodesian ridgeback,0.9999999,1,n02087394,Rhodesian ridgeback,0.9999802,1
51,poc/woof,train,poc\woof\train\n02087394\n02087394_10347.JPEG,n02087394_10347.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.355743408203125,10.005229949951172,30.355743408203125,20.350513458251957,n02087394,Rhodesian ridgeback,0.9999994,1,n02087394,Rhodesian ridgeback,0.999892,1
52,poc/woof,train,poc\woof\train\n02087394\n02087394_10349.JPEG,n02087394_10349.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.13992500305176,9.128055572509766,28.13992500305176,19.011869430541992,n02087394,Rhodesian ridgeback,0.97328305,1,n02087394,Rhodesian ridgeback,0.9972421,1
53,poc/woof,train,poc\woof\train\n02087394\n02087394_1037.JPEG,n02087394_1037.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,32.26670455932617,16.09766387939453,32.26670455932617,16.16904067993164,n02087394,Rhodesian ridgeback,0.9999974,1,n02087394,Rhodesian ridgeback,1.0,1
54,poc/woof,train,poc\woof\train\n02087394\n02087394_10377.JPEG,n02087394_10377.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.328519821166992,13.933805465698242,29.328519821166992,15.39471435546875,n02087394,Rhodesian ridgeback,0.9999926,1,n02087394,Rhodesian ridgeback,0.9999994,1
55,poc/woof,train,poc\woof\train\n02087394\n02087394_10399.JPEG,n02087394_10399.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.342653274536133,15.032023429870604,30.342653274536133,15.310629844665527,n02087394,Rhodesian ridgeback,1.0,1,n02087394,Rhodesian ridgeback,0.99999833,1
56,poc/woof,train,poc\woof\train\n02087394\n02087394_10409.JPEG,n02087394_10409.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,21.599050521850582,6.130134582519531,21.599050521850582,15.468915939331056,n02087394,Rhodesian ridgeback,0.98969287,1,n02087394,Rhodesian ridgeback,0.997291,1
57,poc/woof,train,poc\woof\train\n02087394\n02087394_10418.JPEG,n02087394_10418.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.480587005615234,13.92844581604004,27.480587005615234,13.552141189575195,n02087394,Rhodesian ridgeback,0.9993973,1,n02087394,Rhodesian ridgeback,0.99917275,1
58,poc/woof,train,poc\woof\train\n02087394\n02087394_10424.JPEG,n02087394_10424.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.494876861572266,7.577127456665039,25.494876861572266,17.917749404907227,n02087394,Rhodesian ridgeback,0.9999366,1,n02087394,Rhodesian ridgeback,0.9997744,1
59,poc/woof,train,poc\woof\train\n02087394\n02087394_10438.JPEG,n02087394_10438.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,30.144193649291992,12.150335311889648,30.144193649291992,17.993858337402344,n02087394,Rhodesian ridgeback,0.99995506,1,n02087394,Rhodesian ridgeback,0.9999459,1
60,poc/woof,train,poc\woof\train\n02087394\n02087394_10493.JPEG,n02087394_10493.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,26.89452171325684,8.549432754516602,26.89452171325684,18.345088958740234,n02087394,Rhodesian ridgeback,0.9998252,1,n02087394,Rhodesian ridgeback,0.9998148,1
61,poc/woof,train,poc\woof\train\n02087394\n02087394_10516.JPEG,n02087394_10516.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.52220916748047,10.01274871826172,27.52220916748047,17.50946044921875,n02087394,Rhodesian ridgeback,0.99985397,1,n02087394,Rhodesian ridgeback,0.9987463,1
62,poc/woof,train,poc\woof\train\n02087394\n02087394_10517.JPEG,n02087394_10517.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.98336410522461,11.433698654174805,28.98336410522461,17.549665451049805,n02087394,Rhodesian ridgeback,0.99995923,1,n02087394,Rhodesian ridgeback,0.9999988,1
63,poc/woof,train,poc\woof\train\n02087394\n02087394_10518.JPEG,n02087394_10518.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,33.264427185058594,12.67255973815918,33.264427185058594,20.59186744689941,n02087394,Rhodesian ridgeback,1.0,1,n02087394,Rhodesian ridgeback,1.0,1
64,poc/woof,train,poc\woof\train\n02087394\n02087394_10526.JPEG,n02087394_10526.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,25.68461036682129,9.455360412597656,25.68461036682129,16.229249954223633,n02087394,Rhodesian ridgeback,0.9554556,1,n02087394,Rhodesian ridgeback,0.97070664,1
65,poc/woof,train,poc\woof\train\n02087394\n02087394_10554.JPEG,n02087394_10554.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,34.49443435668945,14.568679809570312,34.49443435668945,19.92575454711914,n02087394,Rhodesian ridgeback,0.999985,1,n02087394,Rhodesian ridgeback,0.9999999,1
66,poc/woof,train,poc\woof\train\n02087394\n02087394_1057.JPEG,n02087394_1057.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,29.27234268188477,9.767400741577148,29.27234268188477,19.504941940307617,n02087394,Rhodesian ridgeback,0.99971515,1,n02087394,Rhodesian ridgeback,0.9999745,1
67,poc/woof,train,poc\woof\train\n02087394\n02087394_10588.JPEG,n02087394_10588.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,31.506103515625,10.498111724853516,31.506103515625,21.007991790771484,n02087394,Rhodesian ridgeback,0.9999131,1,n02087394,Rhodesian ridgeback,0.99981743,1
68,poc/woof,train,poc\woof\train\n02087394\n02087394_10626.JPEG,n02087394_10626.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.38949584960937,10.372156143188477,27.38949584960937,17.0173397064209,n02087394,Rhodesian ridgeback,0.99837,1,n02087394,Rhodesian ridgeback,0.9994438,1
69,poc/woof,train,poc\woof\train\n02087394\n02087394_10683.JPEG,n02087394_10683.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,28.520158767700195,12.695262908935549,28.520158767700195,15.824895858764648,n02087394,Rhodesian ridgeback,0.9999975,1,n02087394,Rhodesian ridgeback,0.99999845,1
70,poc/woof,train,poc\woof\train\n02087394\n02087394_10714.JPEG,n02087394_10714.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,21.46194648742676,7.341362953186035,21.46194648742676,14.120583534240724,n02087394,Rhodesian ridgeback,0.9922725,1,n02087394,Rhodesian ridgeback,0.98803395,1
71,poc/woof,train,poc\woof\train\n02087394\n02087394_10725.JPEG,n02087394_10725.JPEG,n02087394,Rhodesian ridgeback,n02087394,Rhodesian ridgeback,27.920446395874023,11.038572311401367,27.920446395874023,16.881874084472656,n02087394,Rhodesian ridgeback,0.9998827,1,n02087394,Rhodesian ridgeback,0.9999976,1
