ds,class,n_images_synthetic_cleaned,type,n_images_synthetic,abs_change,rel_change
imagenette,n01440764,645,synthetic,963,-318,-0.3302180685358255
imagenette,n02102040,896,synthetic,960,-64,-0.06666666666666667
imagenette,n02979186,971,synthetic,993,-22,-0.022155085599194362
imagenette,n03000684,408,synthetic,863,-455,-0.5272305909617613
imagenette,n03028079,920,synthetic,942,-22,-0.02335456475583864
imagenette,n03394916,720,synthetic,959,-239,-0.2492179353493222
imagenette,n03417042,841,synthetic,968,-127,-0.13119834710743802
imagenette,n03425413,935,synthetic,935,0,0.0
imagenette,n03445777,872,synthetic,952,-80,-0.08403361344537816
imagenette,n03888257,845,synthetic,960,-115,-0.11979166666666667
woof,n02086240,913,synthetic,941,-28,-0.02975557917109458
woof,n02087394,855,synthetic,942,-87,-0.09235668789808917
woof,n02088364,799,synthetic,937,-138,-0.1472785485592316
woof,n02089973,452,synthetic,580,-128,-0.2206896551724138
woof,n02093754,532,synthetic,952,-420,-0.4411764705882353
woof,n02096294,447,synthetic,945,-498,-0.526984126984127
woof,n02099601,591,synthetic,953,-362,-0.37985309548793283
woof,n02105641,672,synthetic,928,-256,-0.27586206896551724
woof,n02111889,773,synthetic,924,-151,-0.1634199134199134
woof,n02115641,877,synthetic,944,-67,-0.07097457627118645
