ds,class,interpolation_step,n_images_synthetic,n_images_synthetic_cleaned,abs_change,rel_change
imagenette,n01440764,1,122,95,-27,-0.22131147540983606
imagenette,n01440764,2,119,99,-20,-0.16806722689075632
imagenette,n01440764,3,121,95,-26,-0.21487603305785125
imagenette,n01440764,4,118,88,-30,-0.2542372881355932
imagenette,n01440764,5,121,94,-27,-0.2231404958677686
imagenette,n01440764,6,121,73,-48,-0.39669421487603307
imagenette,n01440764,7,122,54,-68,-0.5573770491803278
imagenette,n01440764,8,119,47,-72,-0.6050420168067226
imagenette,n02102040,1,106,104,-2,-0.018867924528301886
imagenette,n02102040,2,102,101,-1,-0.00980392156862745
imagenette,n02102040,3,107,106,-1,-0.009345794392523364
imagenette,n02102040,4,110,106,-4,-0.03636363636363636
imagenette,n02102040,5,103,103,0,0.0
imagenette,n02102040,6,108,98,-10,-0.09259259259259259
imagenette,n02102040,7,99,81,-18,-0.18181818181818182
imagenette,n02102040,8,105,87,-18,-0.17142857142857143
imagenette,n02979186,1,126,125,-1,-0.007936507936507936
imagenette,n02979186,2,123,122,-1,-0.008130081300813009
imagenette,n02979186,3,125,124,-1,-0.008
imagenette,n02979186,4,122,120,-2,-0.01639344262295082
imagenette,n02979186,5,125,123,-2,-0.016
imagenette,n02979186,6,125,121,-4,-0.032
imagenette,n02979186,7,125,118,-7,-0.056
imagenette,n02979186,8,122,118,-4,-0.03278688524590164
imagenette,n03000684,1,76,47,-29,-0.3815789473684211
imagenette,n03000684,2,68,34,-34,-0.5
imagenette,n03000684,3,67,35,-32,-0.47761194029850745
imagenette,n03000684,4,74,32,-42,-0.5675675675675675
imagenette,n03000684,5,72,33,-39,-0.5416666666666666
imagenette,n03000684,6,71,25,-46,-0.647887323943662
imagenette,n03000684,7,75,31,-44,-0.5866666666666667
imagenette,n03000684,8,73,26,-47,-0.6438356164383562
imagenette,n03028079,1,79,78,-1,-0.012658227848101266
imagenette,n03028079,2,75,75,0,0.0
imagenette,n03028079,3,84,84,0,0.0
