ds,interpolation_step,n_images_synthetic,n_images_synthetic_cleaned,abs_change,rel_change
imagenette,1,1190,1093,-97,-0.08151260504201681
imagenette,2,1189,1087,-102,-0.08578637510513036
imagenette,3,1174,1069,-105,-0.08943781942078365
imagenette,4,1178,1032,-146,-0.12393887945670629
imagenette,5,1166,1014,-152,-0.13036020583190394
imagenette,6,1187,973,-214,-0.18028643639427128
imagenette,7,1187,906,-281,-0.2367312552653749
imagenette,8,1224,879,-345,-0.2818627450980392
woof,1,1119,948,-171,-0.15281501340482573
woof,2,1155,945,-210,-0.18181818181818182
woof,3,1098,850,-248,-0.22586520947176686
woof,4,1166,916,-250,-0.2144082332761578
woof,5,1196,921,-275,-0.229933110367893
woof,6,1102,815,-287,-0.2604355716878403
woof,7,1117,770,-347,-0.3106535362578335
woof,8,1093,746,-347,-0.3174748398902104
